site_code,stn_id,latitude,longitude,well_use
327709N1147469W001,16207,32.7709,-114.7469,Unknown
327710N1146429W001,18409,32.771,-114.6429,Unknown
327720N1146428W002,18401,32.772,-114.6428,Unknown
327724N1159136W001,18340,32.7724,-115.9136,Unknown
327729N1146430W001,18407,32.7729,-114.643,Unknown
327733N1146439W001,18406,32.7733,-114.6439,Unknown
327734N1146439W001,18405,32.7734,-114.6439,Unknown
327736N1146449W001,18403,32.7736,-114.6449,Unknown
327737N1146449W001,18404,32.7737,-114.6449,Unknown
327743N1146453W001,18402,32.7743,-114.6453,Unknown
327744N1146001W001,35675,32.7744,-114.6001,Unknown
327744N1146173W001,35960,32.7744,-114.6173,Unknown
327745N1145483W001,34384,32.7745,-114.5483,Unknown
327745N1145483W002,17600,32.7745,-114.5483,Unknown
327745N1145483W003,18266,32.7745,-114.5483,Unknown
327745N1145859W001,18268,32.7745,-114.5859,Unknown
327746N1145351W001,34382,32.7746,-114.5351,Unknown
327746N1145351W002,17598,32.7746,-114.5351,Unknown
327746N1145654W001,35677,32.7746,-114.5654,Unknown
327747N1145397W001,17594,32.7747,-114.5397,Unknown
327747N1146255W001,35674,32.7747,-114.6255,Unknown
327748N1146258W001,18262,32.7748,-114.6258,Unknown
327748N1146343W001,35673,32.7748,-114.6343,Unknown
327751N1171426W001,35806,32.7751,-117.1426,Unknown
327755N1147916W001,33604,32.7755,-114.7916,Unknown
327770N1148381W001,16059,32.777,-114.8381,Unknown
327780N1145614W001,34377,32.778,-114.5614,Unknown
327781N1171209W001,24924,32.7781,-117.1209,Unknown
327781N1171209W002,24925,32.7781,-117.1209,Unknown
327781N1171209W003,38147,32.7781,-117.1209,Unknown
327781N1171209W004,24926,32.7781,-117.1209,Unknown
327781N1171209W005,38148,32.7781,-117.1209,Unknown
327781N1171209W006,48695,32.77811,-117.12086,Observation
327782N1148795W001,39642,32.7782,-114.8795,Unknown
327783N1148630W001,16058,32.7783,-114.863,Unknown
327798N1149877W001,20822,32.7798,-114.9877,Unknown
327810N1159403W001,35822,32.781,-115.9403,Unknown
327814N1149891W001,20817,32.7814,-114.9891,Unknown
327816N1145825W001,34373,32.7816,-114.5825,Unknown
327817N1145569W001,17590,32.7817,-114.5569,Unknown
327817N1145613W001,34376,32.7817,-114.5613,Unknown
327817N1145613W002,17591,32.7817,-114.5613,Unknown
327817N1145746W001,17586,32.7817,-114.5746,Unknown
327817N1145914W001,34263,32.7817,-114.5914,Unknown
327818N1146089W001,18264,32.7818,-114.6089,Unknown
327818N1146254W001,18260,32.7818,-114.6254,Unknown
327819N1145991W001,35671,32.7819,-114.5991,Unknown
327819N1146281W001,18261,32.7819,-114.6281,Unknown
327820N1145394W001,39985,32.782,-114.5394,Unknown
327820N1145998W002,17583,32.782,-114.5998,Unknown
327820N1146171W001,18263,32.782,-114.6171,Unknown
327820N1149891W001,36307,32.782,-114.9891,Unknown
327821N1145482W001,17593,32.7821,-114.5482,Unknown
327821N1145482W002,34379,32.7821,-114.5482,Unknown
327822N1147556W001,16205,32.7822,-114.7556,Unknown
327823N1145821W001,17585,32.7823,-114.5821,Unknown
327835N1159494W001,18341,32.7835,-115.9494,Unknown
327835N1168354W001,18174,32.7835,-116.8354,Unknown
327835N1168357W001,35520,32.7835,-116.8357,Unknown
327838N1168354W001,18173,32.7838,-116.8354,Unknown
327840N1163098W001,35811,32.784,-116.3098,Unknown
327854N1145612W001,34375,32.7854,-114.5612,Unknown
327854N1145742W001,34372,32.7854,-114.5742,Unknown
327859N1171070W001,24923,32.7859,-117.107,Unknown
327860N1171058W001,38146,32.786,-117.1058,Unknown
327864N1149150W001,16057,32.7864,-114.915,Unknown
